NT,NR,NTR,g2(0)
8229,10479,36,2.087399631302603
8046,10363,26,1.5591138371137165
8129,10287,25,1.494803649946977
8747,11176,94,4.80786581577944
8128,10308,26,1.551619566180537
8187,10534,35,2.029177061560988
8167,10441,29,1.7004479812615794
8238,10439,31,1.8023993121020927
8181,10117,27,1.6310813645365725
8310,10439,44,2.536078892342183
8029,10500,35,2.0758085274214304
8211,10653,29,1.657677424958858
8185,10404,38,2.231179822055189
8269,10282,22,1.2937849464545927
8270,10210,30,1.7764787112712839
8174,10524,39,2.2668309758756173
8894,11729,104,4.984771236290178
8325,10478,28,1.6049643841207117
8181,10400,32,1.880529933335214
8112,10528,33,1.9320133630690095
8215,10309,32,1.889278034243991
8178,10383,36,2.1198373745559733
8360,10738,35,1.9494332607624312
8319,10312,37,2.1565409027965647
8196,10466,33,1.923540186881372
8265,10475,47,2.7143820377212475
8233,10208,37,2.201268158915474
8140,10411,34,2.006005271781854
8269,10505,27,1.5541206097747626
8359,10675,20,1.120670115902505
8699,11347,62,3.1405904672766023
8122,10383,24,1.4229688951094766
8214,10497,39,2.2615943767160718
8260,10477,30,1.7333021184880706
8394,10533,30,1.6965638542184753
8035,10392,20,1.1976088063528836
8103,10444,27,1.5952217648938058
8311,10430,37,2.1341951944153763
8229,10464,41,2.380724096885669
8042,10238,36,2.1862172218630076
8083,10355,31,1.8518636887344502
8243,10487,30,1.7352205854631944
8227,10544,29,1.6715566808500748
8188,10517,38,2.20639819244428
8198,10397,23,1.3492172416447845
8214,10674,25,1.4256998897626034
8242,10471,26,1.5063385218661607
8247,10539,39,2.243567872121878
8216,10434,35,2.0413937731470724
8230,10728,30,1.698918943897619
8081,10190,19,1.1536772125312662
8168,10494,35,2.0416498434719563
8287,10242,33,1.9440249474247289
8149,10474,30,1.7574151731430032
8053,10514,33,1.9487596215872582
8248,10504,31,1.7890741174393496
8311,10466,29,1.6669938189938562
8288,10617,30,1.7046675707314305
8322,10549,31,1.7656015214154135
8266,10546,34,1.950139834203241
8178,10379,37,2.1795614114519246
8141,10386,29,1.714912355087245
8233,10434,45,2.6192296014573255
8251,10393,32,1.8658317038694654
8383,10366,37,2.128928410904081
8212,10456,36,2.0963219890946534
8228,10441,21,1.222229946198136
8159,10332,24,1.4235080105778033
8067,10488,22,1.3001335024357885
8244,10360,23,1.3464806041225257
