NG,NGT,NGR,NGTR,g2(0)
18952,145,189,0,0.0
18922,131,201,1,0.718620637271657
19068,163,159,0,0.0
19005,145,171,1,0.7664851784633999
18997,155,175,1,0.7003502304147465
18618,167,185,2,1.2052435669202137
18983,180,165,1,0.6391582491582491
19135,156,179,0,0.0
18867,159,204,2,1.1633370329263781
18884,158,180,4,2.6559774964838256
19009,147,180,1,0.7184051398337112
18963,164,193,1,0.5991090610387969
18745,141,184,3,2.1675531914893615
19094,146,197,0,0.0
18798,151,189,1,0.65867759907495
18926,144,208,1,0.6318776709401709
18863,143,195,0,0.0
18917,130,204,1,0.7133107088989442
18999,151,201,3,1.8779282395967183
18908,145,183,2,1.4251366120218578
19136,161,171,0,0.0
19061,150,220,1,0.5776060606060606
19375,204,251,10,3.7838840715569098
19040,149,162,0,0.0
18925,175,201,0,0.0
18728,149,199,2,1.2632288961586455
19091,153,179,1,0.6970825574177529
18944,148,182,0,0.0
18713,158,182,2,1.3015022951731812
18901,167,178,3,1.9075220345825203
18816,156,198,1,0.6091686091686092
18757,140,181,2,1.4804262036306235
18731,142,179,1,0.7369187190180188
18649,162,168,1,0.6852219282774838
18848,138,191,2,1.4301540329311784
18789,163,180,1,0.6403885480572598
19186,143,205,3,1.9634316902609585
18918,155,221,3,1.656809224930667
18864,159,175,2,1.3559029649595686
19060,169,184,1,0.612940571134551
18890,155,189,2,1.2896398702850316
19315,177,177,0,0.0
18710,136,174,0,0.0
19127,161,205,1,0.5795182548098773
18954,156,179,0,0.0
19034,147,179,2,1.446737354159541
18975,145,182,2,1.438044713906783
18841,135,202,1,0.6909057572423909
18974,168,181,0,0.0
18906,170,191,2,1.164521096396674
18943,157,186,0,0.0
18993,156,208,1,0.5853365384615384
19174,145,178,2,1.4857807051530414
18898,179,205,2,1.0300040877503747
18920,160,175,2,1.3514285714285714
18969,155,185,1,0.6615170008718396
19235,133,197,1,0.734132285027289
18978,145,181,1,0.723109163650219
18785,148,176,1,0.7211686117936118
18880,186,184,2,1.1033193080878916
19013,150,163,1,0.7776278118609407
18898,155,177,1,0.6888281392381994
19511,285,397,22,3.793733704538424
18978,166,166,2,1.3774132675279431
19146,152,186,1,0.6772071307300509
19057,185,182,0,0.0
18914,168,196,2,1.1488095238095237
18797,154,176,2,1.3870277449822905
18814,150,181,1,0.6929650092081031
18838,144,177,1,0.7390929064657878
18981,156,170,0,0.0
18954,169,173,2,1.2965762561138283
19015,163,189,0,0.0
18853,160,172,0,0.0
19251,175,185,1,0.5946254826254826
18822,140,193,0,0.0
19270,152,184,1,0.6890017162471396
18763,190,184,1,0.5366990846681923
19122,173,183,1,0.6039988628825926
18964,172,179,2,1.231908535793166
19174,163,191,2,1.2317476632512125
18929,161,181,1,0.6495659037095501
18758,147,185,1,0.689759146902004
18984,154,166,1,0.7426067907995619
18892,140,176,4,3.0668831168831168
18844,160,173,2,1.3615606936416185
18892,155,196,2,1.243712969058591
18778,176,178,1,0.5993998978549541
18634,150,170,1,0.7307450980392157
18964,149,181,2,1.4063554451407172
18848,167,170,0,0.0
19173,170,182,0,0.0
19041,162,191,1,0.6153771572619741
19088,154,166,2,1.4933500234705055
19180,144,187,1,0.7122697563874034
18854,160,184,1,0.6404211956521739
18837,149,186,3,2.039077722450747
19516,277,352,25,5.003897276009189
18996,134,198,1,0.7159656264133876
19003,169,175,3,1.927607776838546
19122,147,174,2,1.495191179920244
19188,139,199,2,1.3873684971620694
18967,173,157,1,0.6983174404477007
19241,152,179,0,0.0
19282,223,240,6,2.161659192825112
18605,184,188,1,0.5378411193339501
19053,145,207,0,0.0
19272,134,191,1,0.7529889817926076
19041,151,179,1,0.7044655740130971
19140,160,196,2,1.2206632653061225
19343,239,283,18,5.147685438443456
19081,160,189,3,1.8929563492063493
18798,151,183,4,2.7210943437194657
19017,174,175,1,0.6245320197044335
19186,160,174,0,0.0
18743,154,188,1,0.6473818734457032
18854,135,181,2,1.543196234908942
18950,170,151,0,0.0
19006,164,171,3,2.0331621737270003
18973,173,176,1,0.6231279558591697
18950,149,189,1,0.6729164447285253
19112,151,170,5,3.7226334242306196
19131,137,178,1,0.7845075043057492
19129,161,164,2,1.448947129222845
19012,158,202,2,1.1913773655846598
18951,164,184,0,0.0
19121,156,195,0,0.0
18783,142,147,0,0.0
18980,167,189,0,0.0
18631,136,193,1,0.7098064614446815
18789,153,174,1,0.7057696641875141
18965,160,183,1,0.6477117486338798
18964,151,178,0,0.0
18987,154,172,0,0.0
18986,161,155,1,0.7608094570226408
18840,161,174,2,1.3450417648318698
19222,173,206,2,1.0787361804815085
18856,150,173,2,1.4532562620423892
18754,140,169,1,0.7926458157227388
19343,161,194,2,1.2385861561119293
18778,177,186,0,0.0
18707,169,186,1,0.5951199338296113
18953,143,183,1,0.7242538881883144
19022,168,175,1,0.6470068027210885
18950,141,219,1,0.6136856763496227
18811,154,165,1,0.7402990948445494
18800,169,197,1,0.5646832667527708
18888,159,195,0,0.0
18910,141,224,0,0.0
19029,140,208,2,1.306936813186813
