CH 1,CH 2,CH 3
8269,18965,10626
8347,18740,10785
8341,19322,10719
8298,18862,10682
8132,18831,10627
8235,18753,10430
8543,18986,10558
8291,18710,10838
8226,18742,10556
8303,18961,10679
8171,19015,10602
8207,19104,10781
8290,19111,10729
8226,18577,10743
8364,19059,10564
8173,19083,10554
8248,19113,10796
8306,19070,10712
8398,19164,10554
8078,18844,10458
8148,18749,10515
8186,18749,10677
8275,18897,10722
8146,18903,10719
8363,18859,10664
8235,18998,10550
8589,19181,10670
8397,18995,10651
8442,18619,10657
8183,19048,10484
8358,19088,10525
8047,18901,10690
8323,19223,10432
8169,19175,10588
8114,18751,10556
8237,19044,10539
8288,18965,10588
8134,18986,10505
8190,18645,10612
8194,19042,10713
8150,18981,10322
8128,18921,10719
8308,18938,10568
8169,19028,10671
8200,19052,10645
8304,18887,10533
8103,19178,10728
8100,18627,10411
8221,18841,10643
8350,19042,10487
8224,18978,10476
8212,18856,10512
8244,18728,10523
8193,18739,10650
8463,18987,10458
8274,18979,10658
8228,19126,10398
8068,18985,10688
8205,19144,10717
8180,19096,10420
7987,19060,10557
8068,19057,10403
8133,18706,10683
8405,18898,10604
8404,18782,10693
8215,18930,10529
8172,19062,10541
8330,18894,10760
8295,18943,10705
8146,18975,10677
8218,18752,10570
8215,18874,10652
8246,18816,10613
8106,18887,10535
8141,18977,10443
8255,19084,10724
8192,18928,10690
8325,18818,10438
8218,19060,10572
8216,19031,10419
8204,19290,10392
8359,18798,10423
8183,19006,10666
8254,18774,10658
8269,18814,10438
8085,18983,10605
8265,19207,10461
8187,19096,10769
8261,19233,10562
8164,19142,10640
8211,18872,10722
8362,19053,10563
8230,18770,10699
7992,18684,10473
8312,18965,10700
8165,18966,10581
8326,18865,10631
8206,18935,10595
8181,19132,10483
8332,18941,10640
8124,19123,10560
8104,19157,10654
8334,19017,10477
8115,18864,10491
8254,18827,10533
8182,19057,10530
8239,18814,10625
8234,19094,10433
8197,18988,10745
8184,18504,10636
8330,18687,10517
8226,18897,10672
8158,19030,10843
8007,19240,10428
8174,18745,10769
8045,18689,10641
8049,18932,10666
8386,18922,10414
8244,18951,10488
8250,19008,10493
8240,19040,10423
8359,18933,10614
8176,19174,10613
8150,19182,10545
8210,18882,10716
8261,19071,10768
8180,18792,10493
8271,18904,10566
8260,18981,10647
8252,18967,10526
8226,18855,10490
8195,18825,10694
8250,18891,10589
8199,18845,10499
8100,18870,10659
8147,19165,10421
8208,18898,10352
8132,18826,10569
8194,19197,10605
8076,19104,10697
8225,18841,10706
8237,18896,10469
8162,18622,10516
8115,18832,10571
8342,18883,10614
8184,18836,10653
8363,19134,10620
8059,18890,10482
8255,19287,10511
8173,18702,10890
8103,18676,10644
8152,19231,10591
8051,18967,10524
8108,18822,10397
8204,18717,10404
8233,19097,10697
8160,18967,10543
8232,18917,10729
8269,18956,10383
8192,18779,10704
8134,18771,10787
8296,19050,10466
8234,18891,10698
8227,18861,10651
8211,19038,10465
8358,19055,10565
8076,19015,10402
8167,18967,10657
8211,19057,10518
8217,18975,10592
8203,18902,10445
8381,18951,10561
8319,19062,10830
8373,18992,10679
8373,18923,10476
8308,18632,10492
8372,18917,10711
8414,19064,10693
8283,19239,10525
8247,19010,10853
8232,18999,10513
8348,19075,10598
8232,18996,10664
8289,19096,10571
8341,18725,10676
8276,18956,10498
8366,18795,10663
8403,18782,10424
8260,18857,10504
8394,18668,10454
8266,18598,10530
8335,18749,10525
8199,18767,10729
8329,19050,10810
8317,18905,10641
8167,18832,10634
8237,18956,10334
8348,19071,10537
8083,18979,10531
8221,19030,10721
