NT,NR,NTR,g2(0)
131992,2443,23,1.783186502552146
132138,2514,24,1.8061684336593071
132573,2473,28,2.1351030433822835
131897,2577,27,1.9858865601755447
131820,2486,31,2.3649353387008514
132576,2457,20,1.53497015674182
131896,2452,23,1.7779344861258526
131989,2534,24,1.7939358188246333
132408,2523,26,1.9457268880034575
132380,2483,20,1.5211460289844032
132334,2484,22,1.6731684166061345
132664,2497,24,1.8112550956945233
132316,2461,25,1.9193582344135
133182,2593,26,1.8821979993185052
132423,2501,18,1.358736992731509
133001,2504,26,1.9517497202031657
132164,2505,29,2.1898637880559817
131956,2454,30,2.3161013662329912
131942,2383,17,1.351704702863088
132686,2422,28,2.1782052442643716
132571,2568,27,1.9827146758319667
132531,2487,22,1.6686660471546761
132368,2488,19,1.4423153535131328
131821,2512,17,1.2834669596587187
131763,2615,25,1.81390630251032
132573,2411,22,1.720720746848618
132903,2492,16,1.207750341675591
132464,2428,31,2.409656595268034
131847,2476,26,1.9910972101076718
132819,2488,22,1.6643785395733173
132319,2559,29,2.1411421976508094
132361,2471,20,1.5287526374308034
131865,2516,20,1.507057520226068
131740,2496,24,1.8246896567831745
131867,2550,19,1.4125938241100622
132494,2566,27,1.9854132190824012
132366,2652,19,1.3531428431824928
132964,2523,25,1.8630679514955597
132764,2545,23,1.701765556608447
133180,2496,26,1.9553736797316914
132402,2490,22,1.6682794378978127
132461,2525,24,1.793914906094908
132395,2513,24,1.8033797048880322
132855,2531,23,1.7100066361640143
132138,2503,24,1.8141060496282453
132650,2516,30,2.247208517579463
132288,2520,21,1.5748467989034027
132564,2440,22,1.7003849918950376
132791,2524,20,1.4918048417087058
132420,2480,30,2.2837891167399915
