NT,NR,NTR,g2(0)
133535,4107,44,2.0057318528515977
133109,4070,40,1.8458574979922147
133722,4030,40,1.8556330133888004
133275,4073,47,2.1645856018305576
133228,4128,33,1.5000949587383334
133641,4220,40,1.7731596190132504
133802,4105,29,1.319964466192442
133497,4037,37,1.7163722217131554
133595,4014,41,1.9114207351629973
133070,4145,25,1.1331184880247054
133277,3978,37,1.7447039549171819
133801,4109,36,1.6369937033346411
134077,4035,45,2.079479768505658
133174,4012,45,2.1055819730500183
133290,4162,44,1.9828645174650525
133371,4081,39,1.791334183329671
133194,4055,28,1.2960522784534254
133434,4071,33,1.5187501748633725
133329,4063,32,1.476789319797614
133565,4013,30,1.399263272961311
133706,4072,41,1.8826309737368534
133413,4019,38,1.7717704291243086
133540,4113,40,1.8206644762616486
133823,4160,31,1.3921230051865294
134082,4059,44,2.021171447525397
133816,4085,34,1.554958565293515
133674,4066,30,1.3798978729856775
133751,3967,51,2.40298437315515
133924,4072,33,1.512821775174484
133576,4024,31,1.4418341124124272
133816,4192,35,1.559835266564046
134000,4021,28,1.299149613781379
133565,4286,44,1.9215330116139728
133677,4158,38,1.709158856611298
133762,4149,50,2.252339350823689
133860,4223,30,1.326750809556809
133459,4214,33,1.466937297690899
133446,4147,33,1.4907827289123712
134002,4125,38,1.7186536790721805
133856,4055,38,1.7502291142027815
133168,4160,48,2.1661475614377212
133490,3933,54,2.5713493738678563
133254,4156,35,1.5799824379625225
134300,4225,40,1.762370741120956
133475,4305,46,2.0013578778123158
133349,4476,41,1.717291515834021
134028,4369,43,1.8358233211286432
133410,4376,41,1.7557317705025277
133744,4339,53,2.2832418717761143
133373,4413,45,1.911396009585177
