NT,NR,NTR,g2(0)
134239,3771,39,1.926058062069242
133389,3893,29,1.3961548397494725
133146,3836,38,1.8600168690607801
132918,3767,32,1.597756411274212
134277,3859,37,1.7851114039684468
133746,4062,35,1.6105986535925374
133097,4004,37,1.735718919427042
133400,4144,43,1.9446116709984775
133119,3802,49,2.420382084558635
133300,4046,41,1.9004998407288427
133330,4011,34,1.5894189426538208
133475,4110,33,1.5038765836845795
133540,3854,37,1.7972920385442004
133256,3789,32,1.584450255891093
133500,3541,33,1.7452062357805354
133461,3590,33,1.7218888958390586
133527,3856,40,1.9421997018210717
133785,3994,47,2.198985588297609
133671,4147,39,1.7588685494111553
133854,4312,57,2.468907155036392
133812,4067,32,1.4700115692115514
133947,4154,34,1.527634445229433
134476,4398,43,1.8176424495010908
134035,4464,49,2.047357501578053
134197,4280,47,2.0457440202118815
134547,4228,39,1.713940015221475
133957,4169,24,1.0743701720188228
133715,4129,38,1.7206739894506566
134097,4268,37,1.6162117507589153
133552,4135,40,1.8108150275627777
133261,4162,32,1.4423971087928849
133981,4108,40,1.8168804428787069
133294,4248,32,1.4128461681506779
133703,4151,31,1.39639349542036
133996,4107,39,1.7716914066381537
133145,4153,50,2.2605973798573196
133226,4107,37,1.6905500820052035
133788,4045,36,1.663055802950505
134032,4033,42,1.9424622121171102
133151,4045,50,2.3208499056328504
